question,answerA,answerB,answerC,answerD,correctAnswer
What is overfitting in machine learning?,When a model is too simple and performs poorly on training data,When a model performs well on training data but poorly on unseen data,When a model is too complex and performs well on unseen data,When a model is neither too simple nor too complex,B
What is underfitting in machine learning?,When a model is too simple and performs poorly on both training and unseen data,When a model performs well on training data but poorly on unseen data,When a model is too complex and overfits to training data,When a model generalizes well on unseen data,A
What is a hyperparameter in machine learning?,A parameter that is learned from the training data,A parameter that is set before the learning process begins,A parameter that is adjusted after the model is trained,A parameter that has no effect on the model performance,B
What is cross-validation?,A technique for assessing how the results of a statistical analysis will generalize to an independent dataset,A technique used to minimize the error of the training data,A method for reducing the number of features in a dataset,A method for scaling the data,A
What is the purpose of regularization in machine learning?,To increase the complexity of the model,To prevent overfitting by adding a penalty for larger coefficients,To reduce the amount of training data needed,To improve the performance on training data,B
What is a confusion matrix?,A table used to describe the performance of a classification model,A method for clustering data,A technique for reducing dimensionality,A method for scaling features,A
"What does the term ""ensemble learning"" refer to?",Using a single model for prediction,Combining predictions from multiple models to improve performance,Using unsupervised learning methods,Using deep learning algorithms,B
What is the bias-variance tradeoff?,The tradeoff between the accuracy of training data and testing data,The tradeoff between simplicity and complexity of the model,The tradeoff between bias error and variance error,The tradeoff between supervised and unsupervised learning,C
What is the purpose of feature scaling?,To reduce the number of features in the dataset,To standardize the range of independent variables,To increase the model complexity,To improve the interpretability of the model,B
What is a learning rate in the context of neural networks?,The rate at which the model forgets old data,The step size at each iteration while moving toward a minimum of a loss function,The rate at which new data is incorporated into the model,The size of the training dataset,B
What is the purpose of the activation function in neural networks?,To introduce non-linearity into the model,To initialize the weights,To prevent overfitting,To optimize the learning rate,A
What is the main goal of clustering in unsupervised learning?,To classify data into predefined categories,To reduce the dimensionality of data,To group similar data points together,To estimate the likelihood of events,C
What is gradient descent?,An optimization algorithm used to minimize the loss function,An algorithm to increase the learning rate,An activation function for neural networks,An ensemble learning method,A
What is a ROC curve?,A plot that illustrates the diagnostic ability of a binary classifier system,An error matrix,An algorithm for regression tasks,A method for scaling features,A
What is the main advantage of using decision trees?,They require a large amount of data,They are prone to overfitting,They are easy to interpret and visualize,They can only be used for classification tasks,C
What is the purpose of a validation set?,To train the model,To test the model's performance,To fine-tune the model's hyperparameters,To evaluate the model's performance during training,D
Which of the following is an unsupervised learning algorithm?,Linear Regression,Decision Tree,Support Vector Machine,K-Means,D
What does 'F1 Score' measure?,The weighted average of precision and recall,The ratio of true positives to total positives,The accuracy of a model,The area under the ROC curve,A
What is 'batch normalization' in neural networks?,A technique to initialize weights,A method to reduce overfitting,A way to normalize the inputs of each layer,A regularization method to dropout neurons,C
What is the role of an activation function in a neural network?,To introduce non-linearity into the model,To initialize the weights of the model,To optimize the model,To normalize the input data,A
What is 'L1 regularization' also known as?,Ridge Regression,Lasso Regression,Elastic Net,Principal Component Analysis,B
What does the term 'epoch' refer to in machine learning?,One complete cycle through the training dataset,One forward and backward pass in training,One batch of data processed by the model,One iteration of gradient descent,A
What is the main difference between 'AdaBoost' and 'Gradient Boosting'?,AdaBoost combines weak learners sequentially; Gradient Boosting combines them in parallel,AdaBoost focuses on minimizing bias; Gradient Boosting focuses on minimizing variance,AdaBoost adjusts weights of misclassified examples; Gradient Boosting fits the residuals of the model,AdaBoost uses decision stumps; Gradient Boosting uses deep trees,C
What is the purpose of 'feature scaling'?,To reduce the number of features,To handle missing data,To normalize the range of features,To remove irrelevant features,C
Which technique is used to prevent overfitting in decision trees?,Feature scaling,Early stopping,Pruning,Cross-validation,C
What is 'Q-learning' in reinforcement learning?,A supervised learning algorithm,An unsupervised learning algorithm,A model-free reinforcement learning algorithm,A model-based reinforcement learning algorithm,C
What is 'Bagging' in machine learning?,A technique for scaling features,A technique for dimensionality reduction,An ensemble method that reduces variance,An optimization algorithm for neural networks,C
What does 'k' represent in k-nearest neighbors (k-NN) algorithm?,The number of features in the dataset,The number of clusters,The number of nearest neighbors to consider,The number of iterations for training,C
What is 'Precision' in the context of classification?,The ratio of true positives to true negatives,The ratio of true positives to all predicted positives,The ratio of true negatives to all actual negatives,The ratio of true positives to all actual positives,B
What is the purpose of a 'validation set'?,To train the model,To test the model's performance,To fine-tune the model's hyperparameters,To evaluate the model's performance during training,D
What is 'Random Forest'?,A single decision tree,An ensemble of decision trees,An algorithm for scaling data,A clustering method,B
What is the role of 'Dropout' in neural networks?,To initialize the weights,To prevent overfitting by ignoring certain neurons during training,To scale the data,To reduce the dimensionality of the data,C
What does 'ROC' stand for in the context of ROC curve?,Region of Convergence,Rate of Classification,Receiver Operating Characteristic,Regression Output Calculation,C
What is the purpose of 'Min-Max Scaling'?,To normalize the data to a range between 0 and 1,To reduce the number of features,To handle missing data,To optimize the model performance,A
What is 'Principal Component Analysis' used for?,Increasing the number of features,Reducing the number of data samples,Reducing the number of features,Handling missing data,C
Which method is used to handle imbalanced datasets?,Cross-validation,Normalization,Random forest,SMOTE,D
What is the 'learning rate' in gradient descent?,The number of iterations to run,The rate at which data is fed into the model,The step size for each iteration,The final error of the model,C
What is the purpose of a 'kernel trick' in SVM?,To linearize non-linear data,To handle missing data,To optimize the learning rate,To reduce overfitting,A
What is 'dropout' in neural networks?,Adding noise to input data,An optimization algorithm,Ignoring randomly selected neurons during training,Preprocessing data,C
Which of the following is a feature selection method?,Normalization,Data Augmentation,Principal Component Analysis,Gradient Descent,C
What is 'R-squared' used to measure?,The correlation between two variables,The variance explained by the model,The accuracy of a classification model,The mean squared error,B
What is the main goal of reinforcement learning?,To cluster data points,To reduce dimensionality,To optimize cumulative reward,To classify data into categories,C
What is the purpose of 'Grid Search' in machine learning?,Selecting the best features,Optimizing model parameters,Reducing data dimensionality,Evaluating model accuracy,B
What is 'Logistic Regression' primarily used for?,Regression analysis,Clustering analysis,Dimensionality reduction,Classification tasks,D
